x_space_m,y_space_m,timestamp_sec,,,,,,,
0.625,0.703,0.016667,,,,,,,
0.623,0.655,0.033334,,,,,,,
0.630,0.613,0.050001,,,,,,,
0.638,0.578,0.066668,,,,,,,
0.643,0.533,1.016667,,,,,,,
0.668,0.486,1.033334,,,,,,,
0.693,0.453,1.050001,,,,,,,
0.725,0.423,1.066668,,,,,,,
0.752,0.396,2.016667,,,,,,,
0.792,0.366,2.033334,,,,,,,
0.842,0.344,2.050001,,,,,,,
0.875,0.326,2.066668,,,,,,,
0.922,0.316,3.016667,,,,,,,
0.967,0.316,3.033334,,,,,,,
1.002,0.321,3.050001,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
